description,industry,level,size,line_code,value,Unit,footnotes
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty getting key goods and services from suppliers: don't know,Other services,1,total,D0305.04,312,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty getting key goods and services from suppliers: don't know,total,0,total,D0305.04,8103,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,total,0,6–19 employees,D0306.01,13836,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,total,0,20–49 employees,D0306.01,3792,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,total,0,50–99 employees,D0306.01,1032,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,total,0,100+ employees,D0306.01,753,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Agriculture, forestry, & fishing",1,total,D0306.01,1020,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Agriculture,2,total,D0306.01,582,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Commercial fishing,2,total,D0306.01,21,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Forestry & logging,2,total,D0306.01,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Agriculture, forestry, & fishing support services",2,total,D0306.01,366,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Mining,1,total,D0306.01,42,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Manufacturing,1,total,D0306.01,1812,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Food, beverage, & tobacco",2,total,D0306.01,225,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Textile, clothing, footwear, & leather",2,total,D0306.01,105,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Wood & paper product,2,total,D0306.01,171,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Printing, publishing, & recorded media",2,total,D0306.01,99,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Petroleum, coal, chemical, & associated product",2,total,D0306.01,147,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Non-metallic mineral product,2,total,D0306.01,84,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Metal product,2,total,D0306.01,363,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Transport and industrial machinery & equipment,2,total,D0306.01,357,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Other machinery & equipment,2,total,D0306.01,96,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Other manufacturing,2,total,D0306.01,159,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Electricity, gas, water, & waste services",1,total,D0306.01,69,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Construction,1,total,D0306.01,2850,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Wholesale trade,1,total,D0306.01,1059,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Machinery & equipment wholesaling,2,total,D0306.01,351,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Other wholesale trade,2,total,D0306.01,708,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Retail trade,1,total,D0306.01,1701,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Accommodation & food services,1,total,D0306.01,1704,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Transport, postal, & warehousing",1,total,D0306.01,624,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Information media & telecommunications,1,total,D0306.01,264,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Publishing,2,total,D0306.01,111,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Motion picture,2,total,D0306.01,81,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Telecommunications,2,total,D0306.01,69,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Financial & insurance services,1,total,D0306.01,408,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Finance,2,total,D0306.01,114,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Insurance,2,total,D0306.01,21,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Auxiliary,2,total,D0306.01,273,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Rental, hiring, & real estate services",1,total,D0306.01,492,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,"Professional, scientific, & technical services",1,total,D0306.01,3363,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Computer systems design,2,total,D0306.01,669,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Other professional scientific,2,total,D0306.01,2694,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Administrative & support services,1,total,D0306.01,897,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Education & training,1,total,D0306.01,621,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Health care & social assistance,1,total,D0306.01,1623,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Arts & recreation services,1,total,D0306.01,249,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,Other services,1,total,D0306.01,606,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: not at all,total,0,total,D0306.01,19413,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,total,0,6–19 employees,D0306.02,10707,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,total,0,20–49 employees,D0306.02,2910,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,total,0,50–99 employees,D0306.02,915,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,total,0,100+ employees,D0306.02,831,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Agriculture, forestry, & fishing",1,total,D0306.02,1239,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Agriculture,2,total,D0306.02,837,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Commercial fishing,2,total,D0306.02,18,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Forestry & logging,2,total,D0306.02,93,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Agriculture, forestry, & fishing support services",2,total,D0306.02,291,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Mining,1,total,D0306.02,42,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Manufacturing,1,total,D0306.02,2016,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Food, beverage, & tobacco",2,total,D0306.02,570,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Textile, clothing, footwear, & leather",2,total,D0306.02,81,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Wood & paper product,2,total,D0306.02,231,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Printing, publishing, & recorded media",2,total,D0306.02,48,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Petroleum, coal, chemical, & associated product",2,total,D0306.02,174,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Non-metallic mineral product,2,total,D0306.02,60,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Metal product,2,total,D0306.02,369,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Transport and industrial machinery & equipment,2,total,D0306.02,318,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Other machinery & equipment,2,total,D0306.02,60,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Other manufacturing,2,total,D0306.02,105,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Electricity, gas, water, & waste services",1,total,D0306.02,78,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Construction,1,total,D0306.02,2370,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Wholesale trade,1,total,D0306.02,1365,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Machinery & equipment wholesaling,2,total,D0306.02,426,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Other wholesale trade,2,total,D0306.02,939,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Retail trade,1,total,D0306.02,1884,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Accommodation & food services,1,total,D0306.02,2277,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Transport, postal, & warehousing",1,total,D0306.02,573,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Information media & telecommunications,1,total,D0306.02,102,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Publishing,2,total,D0306.02,33,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Motion picture,2,total,D0306.02,39,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Telecommunications,2,total,D0306.02,27,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Financial & insurance services,1,total,D0306.02,150,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Finance,2,total,D0306.02,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Insurance,2,total,D0306.02,12,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Auxiliary,2,total,D0306.02,90,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Rental, hiring, & real estate services",1,total,D0306.02,231,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,"Professional, scientific, & technical services",1,total,D0306.02,978,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Computer systems design,2,total,D0306.02,123,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Other professional scientific,2,total,D0306.02,858,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Administrative & support services,1,total,D0306.02,486,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Education & training,1,total,D0306.02,303,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Health care & social assistance,1,total,D0306.02,675,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Arts & recreation services,1,total,D0306.02,240,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,Other services,1,total,D0306.02,351,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a little,total,0,total,D0306.02,15366,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,total,0,6–19 employees,D0306.03,3768,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,total,0,20–49 employees,D0306.03,918,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,total,0,50–99 employees,D0306.03,240,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,total,0,100+ employees,D0306.03,219,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Agriculture, forestry, & fishing",1,total,D0306.03,918,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Agriculture,2,total,D0306.03,711,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Commercial fishing,2,total,D0306.03,12,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Forestry & logging,2,total,D0306.03,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Agriculture, forestry, & fishing support services",2,total,D0306.03,144,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Mining,1,total,D0306.03,18,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Manufacturing,1,total,D0306.03,537,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Food, beverage, & tobacco",2,total,D0306.03,204,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Textile, clothing, footwear, & leather",2,total,D0306.03,9,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Wood & paper product,2,total,D0306.03,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Printing, publishing, & recorded media",2,total,D0306.03,15,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Petroleum, coal, chemical, & associated product",2,total,D0306.03,48,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Non-metallic mineral product,2,total,D0306.03,27,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Metal product,2,total,D0306.03,78,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Transport and industrial machinery & equipment,2,total,D0306.03,66,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Other machinery & equipment,2,total,D0306.03,21,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Other manufacturing,2,total,D0306.03,15,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Electricity, gas, water, & waste services",1,total,D0306.03,27,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Construction,1,total,D0306.03,816,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Wholesale trade,1,total,D0306.03,318,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Machinery & equipment wholesaling,2,total,D0306.03,78,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Other wholesale trade,2,total,D0306.03,240,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Retail trade,1,total,D0306.03,513,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Accommodation & food services,1,total,D0306.03,1008,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Transport, postal, & warehousing",1,total,D0306.03,195,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Information media & telecommunications,1,total,D0306.03,18,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Publishing,2,total,D0306.03,15,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Motion picture,2,total,D0306.03,0,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Telecommunications,2,total,D0306.03,3,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Financial & insurance services,1,total,D0306.03,39,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Finance,2,total,D0306.03,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Insurance,2,total,D0306.03,3,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Auxiliary,2,total,D0306.03,30,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Rental, hiring, & real estate services",1,total,D0306.03,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,"Professional, scientific, & technical services",1,total,D0306.03,150,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Computer systems design,2,total,D0306.03,12,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Other professional scientific,2,total,D0306.03,138,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Administrative & support services,1,total,D0306.03,138,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Education & training,1,total,D0306.03,81,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Health care & social assistance,1,total,D0306.03,183,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Arts & recreation services,1,total,D0306.03,33,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,Other services,1,total,D0306.03,96,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: a lot,total,0,total,D0306.03,5148,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,total,0,6–19 employees,D0306.04,6729,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,total,0,20–49 employees,D0306.04,1116,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,total,0,50–99 employees,D0306.04,312,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,total,0,100+ employees,D0306.04,285,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,"Agriculture, forestry, & fishing",1,total,D0306.04,501,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Agriculture,2,total,D0306.04,270,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Commercial fishing,2,total,D0306.04,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Forestry & logging,2,total,D0306.04,60,Number of businesses,1 and 2 and 3 and 6
